name,status,style,corse,area,result
さき,superior,under_hand,straight,right,held
しょう,superior,under_hand,inside_out,center,ace
しょう,superior,under_hand,inside_out,center,held
しょう,superior,under_hand,inside_out,center,back_out
かのん,superior,over_hand,cross,center,back_out
あゆた,superior,under_hand,inside_out,center,held
ひまり,superior,under_hand,straight,center,ace
ひまり,superior,under_hand,straight,center,held
しおり,superior,under_hand,cross,center,held
りょうま,superior,double_hand,straight,center,held
まひろ,superior,over_hand,straight,right,held
ほのか,superior,under_hand,cross,center,held
さき,superior,under_hand,straight,right,back_out
しょう,superior,under_hand,inside_out,right,held
かのん,even,over_hand,straight,center,held
あゆた,inferior,under_hand,straight,center,net
ひまり,inferior,under_hand,cross,left,net
しおり,inferior,under_hand,cross,center,held
りょうま,inferior,double_hand,straight,center,held
まひろ,inferior,over_hand,straight,center,held
ほのか,inferior,under_hand,straight,right,held
さき,inferior,under_hand,cross,center,held
しょう,even,under_hand,straight,left,net
かのん,even,over_hand,straight,center,net
あゆた,inferior,under_hand,cross,left,ace
あゆた,inferior,under_hand,cross,left,ace
あゆた,inferior,under_hand,straight,center,held
ひまり,inferior,under_hand,inside_out,right,held
しおり,inferior,under_hand,cross,center,held
しおり,inferior,under_hand,cross,left,ace
しおり,even,under_hand,cross,left,held
しおり,superior,under_hand,straight,center,back_out
りょうま,even,double_hand,cross,left,held
まひろ,even,over_hand,straight,center,ace
まひろ,even,over_hand,straight,center,held
まひろ,superior,over_hand,straight,center,held
ほのか,superior,under_hand,straight,right,held
さき,superior,under_hand,straight,right,back_out
しょう,superior,under_hand,inside_out,center,held
かのん,even,over_hand,cross,center,held
あゆた,even,under_hand,straight,right,ace
あゆた,superior,under_hand,inside_out,center,held
ひまり,superior,under_hand,straight,right,net
しおり,superior,under_hand,cross,left,held
りょうま,even,under_hand,straight,center,held
まひろ,even,over_hand,straight,center,held
まひろ,superior,over_hand,straight,center,back_out
ほのか,superior,under_hand,straight,right,held
さき,superior,under_hand,straight,right,held
しょう,superior,under_hand,inside_out,right,back_out
かのん,even,over_hand,straight,right,ace
かのん,superior,over_hand,cross,center,held
あゆた,even,under_hand,straight,center,held
ひまり,even,under_hand,cross,center,net
しおり,even,under_hand,cross,left,held
りょうま,superior,double_hand,cross,left,effect
りょうま,superior,double_hand,straight,center,held
まひろ,superior,over_hand,cross,left,ace
まひろ,superior,over_hand,straight,center,held
ほのか,superior,under_hand,straight,right,held
さき,inferior,under_hand,straight,right,held
しょう,inferior,under_hand,cross,center,held
かのん,inferior,over_hand,straight,left,ace
かのん,inferior,over_hand,straight,center,back_out
あゆた,inferior,under_hand,inside_out,center,held
